Date,Price
2018-12-31,52.89149856567383
2019-01-02,51.36000061035156
2019-01-03,52.53350067138672
2019-01-04,52.12799835205078
2019-01-07,54.048500061035156
2019-01-08,54.29999923706055
2019-01-09,54.39950180053711
2019-01-10,53.74700164794922
2019-01-11,53.494998931884766
2019-01-14,52.66699981689453
2019-01-15,52.9005012512207
2019-01-16,54.5
2019-01-17,54.39950180053711
2019-01-18,55.429500579833984
2019-01-22,54.79999923706055
2019-01-23,54.34299850463867
2019-01-24,54.1254997253418
2019-01-25,54.71149826049805
2019-01-28,54.503501892089844
2019-01-29,54.051998138427734
2019-01-30,53.86800003051758
2019-01-31,55.61199951171875
2019-02-01,56.114498138427734
2019-02-04,55.95050048828125
2019-02-05,56.48149871826172
2019-02-06,57.4635009765625
2019-02-07,55.590999603271484
