date,open,high,low,close
14-06-2017,444.75,452.25,442.75,443.12
13-06-2017,437.5,446.25,436.75,444.5
12-06-2017,443.25,444,431.38,434
09-06-2017,447.25,454,443.75,445.75
08-06-2017,446.75,455.75,446.62,449.75
07-06-2017,438,448.5,438,444.75
06-06-2017,430.25,440.75,429.75,435.75
05-06-2017,429.25,433.25,425.75,429.5
02-06-2017,427.75,433.75,426.75,429.25
01-06-2017,429.38,431.25,421.62,429.25
31-05-2017,433.25,436.25,428.5,429.5
30-05-2017,439,439.25,426.5,429.38
26-05-2017,430.25,439,429.5,438.75
25-05-2017,433.75,436,430.25,430.75
24-05-2017,430,433,427.75,432.5
23-05-2017,434.5,435.75,428.25,429.12
22-05-2017,438,442.5,434.75,434.75
19-05-2017,426.25,436.75,426.25,435.5
18-05-2017,428.75,428.75,421.5,426
17-05-2017,422.25,432.25,421.75,427.5
16-05-2017,422.5,425.75,420.5,425
15-05-2017,430.25,431,421.75,424.25
12-05-2017,434.25,437.5,431.5,432.75
11-05-2017,432.25,435.75,428.62,433.5
10-05-2017,429.5,435.5,426.25,431.75
09-05-2017,433.75,434.5,428.75,429.75
08-05-2017,440.75,441.5,433,434
05-05-2017,438.75,444,436.25,443
04-05-2017,454.5,455.25,436,438.25
03-05-2017,452.25,456,446,453.5
02-05-2017,457.25,461.5,448.5,454.5
01-05-2017,441.5,456,439.38,456
28-04-2017,431.75,434.38,429.75,432.62
27-04-2017,426.5,433,425.25,431.5
26-04-2017,428.75,432.5,424.75,426
25-04-2017,418.75,429.5,416.25,427.25
24-04-2017,424.25,424.75,418.25,419
21-04-2017,405.75,408,400.25,405.75
20-04-2017,418.62,421.75,406.75,406.75
19-04-2017,422,425.75,417.75,418.5
18-04-2017,422.25,423.5,419.25,422.25
17-04-2017,430.25,431.25,420,421.25
13-04-2017,433,436,429,429.75
12-04-2017,433.5,436.5,431.5,433.38
11-04-2017,428.25,434.75,424,434.12
10-04-2017,423.75,429,422.5,428.75
07-04-2017,422.5,425.5,419.75,423.62
06-04-2017,429.25,430.75,422,423
05-04-2017,426.75,430.5,425.25,430.25
04-04-2017,426.25,432,426.25,427.25
